#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
37,A/Beige,70,Cabinets / Countertops,1,3,,2,15060 Destination,"1,527",$180,Pending,,Carmella T,"$274,950.00","$5,000",,"$1,733","$1,790.00",80.19,126.02,📁
14,,20,Slab,1,4,,2,15060 Ambition,"1,497",$177,Pending,,Yoli,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
36,C/Gray,0,City,1,4,,2,15056 Destination,"1,522",$181,Pending,,Ayde T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
42,D/Gray,70,Cabinets / Countertops,1,3,,2,15053 Destination,"1,527",$180,Pending,,Carmella T,"$274,950.00","$5,000",,"$1,733","$1,790.00",80.19,126.02,📁
35,B/Greige,0,City,1,3,,2,15052 Destination,"1,583",$174,Pending,,Karla T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
13,,20,Slab,1,3,,2,15052 Ambition,"1,527",$174,Pending,,Carmella,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
34,D/Gray,100,Finished,1,4,,2,15048 Destination,"1,495",$184,Pending,,Yoli T,"$274,950.00","$10,000",,"$1,733","$1,790.00",80.19,126.02,📁
12,,25,Framing,1,4,,2,15048 Ambition,"1,535",$173,Pending,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
44,A/Beige,70,Cabinets / Countertops,1,3,,2,15045 Destination,"1,583",$174,Pending,,Karla T,"$274,950.00","$5,000",,"$1,733","$1,790.00",80.19,126.02,📁
33,A/Beige,85,Detail Wall Texture,1,3,,2,15044 Destination,"1,527",$180,Pending,,Carmella T,"$274,950.00","$8,000",,"$1,733","$1,790.00",80.19,126.02,📁
11,,45,Sheetrock,1,4,,2,15044 Ambition,"1,495",$177,Pending,,Yoli,"$264,950.00","$8,000",,"$1,670","$1,725.00",77.28,121.44,📁
52,,100,Finished,1,4,,2,15041 Function,"1,495",$184,Pending,,Yoli T,"$274,950.00","$5,000",,"$1,733","$1,790.00",80.19,126.02,📁
10,,40,Insulation,1,3,,2,15040 Ambition,"1,583",$167,Pending,,Karla,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
46,D/Gray,65,Trim & Doors,1,3,,2,15037 Destination,"1,527",$180,Pending,,Carmella T,"$274,950.00","$5,000",,"$1,733","$1,790.00",80.19,126.02,📁
31,,0,City,1,3,,2,15036 Destination,"1,583",$174,Pending,,Karla T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
9,,0,City,1,3,,2,15036 Ambition,"1,527",$174,Pending,,Carmella,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
30,C/Gray,90,Carpet / Paint,1,4,,2,15032 Destination,"1,495",$184,Pending,,Yoli T,"$274,950.00","$8,000",,"$1,733","$1,790.00",80.19,126.02,📁
8,,0,City,1,4,,2,15032 Ambition,"1,535",$173,Pending,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
53,D/Gray,100,Finished,1,3,,2,15029 Function,"1,527",$180,Pending,,Carmella T,"$274,950.00","$10,000",,"$1,733","$1,790.00",80.19,126.02,📁
48,,30,"HVAC & Plumbing, Electrical",1,3,,2,15029 Destination,"1,583",$174,Pending,,Karla T,"$274,950.00",,,"$1,733","$1,790.00",80.19,126.02,📁
29,B/Greige,100,Finished,1,3,,2,15028 Destination,"1,527",$180,Pending,,Carmella T,"$274,950.00","$10,000",,"$1,733","$1,790.00",80.19,126.02,📁
